Modalità;Punteggio AI;Consiglio;Titolo;Azienda;Sede;Fonte;Programmazione richiesta;Smart Working;Contratto;Junior Friendly;Anni esperienza richiesti;Punti forza per Diego;Punti deboli per Diego;Riassunto AI;Stipendio Min (jobspy);Stipendio Max (jobspy);RAL Stimata AI;Reputazione Azienda;Adatta Neolaureati;Note Azienda;Ricerca usata;Link;Mandata candidatura?
Torino;8;Candidati subito;Analista Funzionale Junior;Warp Tech;Torino, PIE, IT;indeed;Bassa;No;Dipendente;Sì;0;Utilizzo di strumenti AI per accelerare l'analisi e la redazione dei casi di test;Richiesta di lavoro in sede almeno 2 giorni a settimana;Posizione di Analista Funzionale Junior presso Warp Tech, richiede collaborazione con team AI e sviluppo di processi ottimizzati;N/D;N/D;25.000€-35.000€;Buona;Sì;Warp Tech è un system integrator di primo piano per soluzioni cloud Azure e ibride;Analista Funzionale Junior;https://it.indeed.com/viewjob?jk=dc36d2840c785135;Si
Torino;8;Valutabile;Stage Analista Funzionale – Banking Division;Finwave;Turin, Piedmont, Italy;linkedin;Media;Sì;Stage;Sì;0;L'offerta corrisponde alle sue preferenze per un ruolo di analisi e non richiede una programmazione intensiva.;Il ruolo è uno stage, non una posizione di dipendente o apprendistato come preferito.;Stage Analista Funzionale in Finwave, azienda nota per progetti IT innovativi.;N/D;N/D;20.000€-25.000€;Buona;Sì;Finwave è un'azienda con esperienza nel settore IT e progetti innovativi.;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4378882328;No, richiede economia
Full Remote IT;8;Valutabile;Telespazio- IT Service Management Specialist;Leonardo;Roma, LAZ, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;L'offerta si concentra su Service Management e non richiede programmazione intensa.;Non menziona specificamente No-Code o AI Automation.;Telespazio cerca un IT Service Management Specialist. L'offerta sembra adatta a Diego per il focus su analisi e gestione.;N/D;N/D;35.000€-45.000€;Ottima;Sì;Leonardo è un gruppo industriale leader globale in settori strategici.;Junior ServiceNow;https://it.indeed.com/viewjob?jk=e76a6979c1a16c39;
Full Remote IT;8;Candidati subito;Analista Funzionale;E-work;Milano, LOM, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;La posizione richiede analisi e progettazione funzionale, in linea con le preferenze di Diego per logica e analisi.;La sede dell'azienda è a Milano, mentre Diego è a Torino, potrebbe esserci una necessità di trasferimento o pendolarismo.;Posizione come Analista Funzionale Junior presso E-work Spa per Nordcom, società del Gruppo FNM. Attività di analisi dei requisiti e progettazione funzionale di soluzioni software.;N/D;N/D;25.000€-35.000€;Buona;Sì;E-work Spa opera da più di 20 anni nel settore della digitalizzazione per le Aziende di Trasporto e gli Enti della Pubblica Amministrazione.;Analista Funzionale Junior;https://it.indeed.com/viewjob?jk=e74ff7744640f450;
Full Remote IT;8;Candidati subito;Cybersecurity GRC Specialist  (100% remote);UBQ.io;;linkedin;Media;Sì;Dipendente;Sì;1;L'offerta si concentra su GRC (Governance, Risk e Conformity) in Cybersecurity, in linea con le aspirazioni di Diego.;Diego potrebbe non avere esperienza sufficiente per il ruolo.;Cybersecurity GRC Specialist, 100% remote, UBQ.io. Ruolo in linea con le aspirazioni di Diego in Cybersecurity.;N/D;N/D;35.000€-45.000€;Buona;Sì;UBQ.io sembra essere un'azienda innovativa nel campo della Cybersecurity.;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4378399001;
Torino;8;Candidati subito;Agentic AI Productivity Specialist;Lavazza Group;Turin, Piedmont, Italy;linkedin;Bassa;Sì;Dipendente;Sì;0;L'offerta si concentra sull'utilizzo di AI e automazione;Non sono specificati i dettagli del ruolo e delle responsabilità;Lavazza Group cerca Agentic AI Productivity Specialist, ruolo che potrebbe essere adatto a Diego;N/D;N/D;30.000€-40.000€;Ottima;Sì;Lavazza Group è un'azienda nota e rispettata;Junior RPA Developer;https://www.linkedin.com/jobs/view/4369950403;Mandata
Full Remote IT;8;Candidati subito;R&D Software Functional Analyst - Medacta Applied Solutions;Medacta International;;linkedin;Media;Sì;Dipendente;Sì;0;Possibilità di lavorare in R&D con tecnologie avanzate;Richiede programmazione, contrariamente alle sue preferenze;R&D Software Functional Analyst in Medacta Applied Solutions, smart working disponibile;N/D;N/D;30.000€-40.000€;Buona;Sì;Medacta International è un'azienda innovativa nel settore medicale;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4374038213;Si
Full Remote IT;8;Candidati subito;QA Engineer (native Italian);Neurons Lab;Rome, Latium, Italy;linkedin;Media;Sì;Dipendente;Sì;0;L'offerta corrisponde alle sue preferenze per QA e analisi.;Potrebbe richiedere più programmazione di quanto Diego preferisca.;Offerta per QA Engineer, smart working, contratto dipendente.;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda Neurons Lab sembra valorizzare i junior.;Junior QA Tester;https://www.linkedin.com/jobs/view/4377844930;
Torino;8;Candidati subito;Graduate Automation Engineer Apprenticeship Program;Amazon;Torrazza Piemonte, Piedmont, Italy;linkedin;Media;Sì;Apprendistato;Sì;0;Possibilità di lavorare con tecnologie avanzate di automazione;Potrebbe richiedere programmazione più di quanto Diego desideri;Apprendistato per Graduate Automation Engineer in Amazon, smart working;N/D;N/D;25.000€-30.000€;Ottima;Sì;Azienda leader nel settore tecnologico;Junior RPA Developer;https://www.linkedin.com/jobs/view/4379994267;
Full Remote IT;8;Candidati subito;Bilingual LLM Assessment Analyst Up to $36/hr;Mercor;;linkedin;Bassa;Sì;Dipendente;Sì;0;L'offerta valorizza le sue competenze in LLM e analisi.;Non sono specificate le tecnologie utilizzate.;Offerta per Bilingual LLM Assessment Analyst con Mercor, fino a $36/ora.;N/D;N/D;40.000€-60.000€;Buona;Sì;Mercor sembra essere un'azienda interessante per le competenze di Diego.;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4379537814;
